time,latitude,longitude,depth,mag,id,place
2011-03-11T06:25:50.300Z,38.058,144.59,18.6,7.7,usp000hvpg,"off the east coast of Honshu, Japan"
2011-03-11T06:15:40.280Z,36.281,141.111,42.6,7.9,usp000hvpa,"near the east coast of Honshu, Japan"
2011-03-11T05:46:24.120Z,38.297,142.373,29,9.1,official20110311054624120_30,"near the east coast of Honshu, Japan"
2011-03-09T02:45:20.330Z,38.435,142.842,32,7.3,usp000hvhj,"near the east coast of Honshu, Japan"
2011-01-18T20:23:23.480Z,28.777,63.951,68,7.2,usp000htb4,southwestern Pakistan
2011-01-13T16:16:41.540Z,-20.628,168.471,9,7,usp000ht15,"Loyalty Islands, New Caledonia"
2011-01-02T20:20:17.780Z,-38.355,-73.326,24,7.2,usp000hsfq,"Araucania, Chile"
2011-01-01T09:56:58.120Z,-26.803,-63.136,576.8,7,usp000hsdc,"Santiago Del Estero, Argentina"
2010-12-25T13:16:37.000Z,-19.702,167.947,16,7.3,usp000hrw0,Vanuatu region
2010-12-21T17:19:40.660Z,26.901,143.698,14,7.4,usp000hr97,"Bonin Islands, Japan region"
2010-10-25T14:42:22.460Z,-3.487,100.082,20.1,7.8,usp000hnj4,"Kepulauan Mentawai region, Indonesia"
2010-09-29T17:11:25.940Z,-4.963,133.76,26,7,usp000hmbq,"near the south coast of Papua, Indonesia"
2010-09-03T16:35:47.770Z,-43.522,171.83,12,7,usp000hk46,South Island of New Zealand
2010-08-12T11:54:15.580Z,-1.266,-77.306,206.7,7.1,usp000hj05,Ecuador
2010-08-10T05:23:44.980Z,-17.541,168.069,25,7.3,usp000hhuc,Vanuatu
2010-08-04T22:01:43.620Z,-5.746,150.765,44,7,usp000hhhx,"New Britain region, Papua New Guinea"
2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5,usp000hgmq,"Moro Gulf, Mindanao, Philippines"
2010-07-23T22:51:11.840Z,6.497,123.48,578,7.6,usp000hgmh,"Moro Gulf, Mindanao, Philippines"
2010-07-23T22:08:11.250Z,6.718,123.409,607.1,7.3,usp000hgmd,"Moro Gulf, Mindanao, Philippines"
2010-07-18T13:34:59.360Z,-5.931,150.59,35,7.3,usp000hfku,"New Britain region, Papua New Guinea"
2010-06-16T03:16:27.550Z,-2.174,136.543,18,7,usp000he3f,"near the north coast of Papua, Indonesia"
2010-06-12T19:26:50.460Z,7.881,91.936,35,7.5,usp000hdwb,"Nicobar Islands, India region"
2010-05-27T17:14:46.570Z,-13.698,166.643,31,7.2,usp000hd84,Vanuatu
2010-05-09T05:59:41.620Z,3.748,96.018,38,7.2,usp000hchk,"northern Sumatra, Indonesia"
2010-04-06T22:15:01.580Z,2.383,97.048,31,7.8,usp000hat0,"northern Sumatra, Indonesia"
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,ci14607652,"12km SW of Delta, B.C., MX"
2010-03-11T14:55:27.510Z,-34.326,-71.799,18,7,usp000h94v,"Libertador General Bernardo O'Higgins, Chile"
2010-02-27T08:01:23.010Z,-37.773,-75.048,35,7.4,usp000h7sq,"off the coast of Bio-Bio, Chile"
2010-02-27T06:34:11.530Z,-36.122,-72.898,22.9,8.8,official20100227063411530_30,"offshore Bio-Bio, Chile"
2010-02-26T20:31:26.970Z,25.93,128.425,25,7,usp000h7qu,"Ryukyu Islands, Japan"
2010-01-12T21:53:10.060Z,18.443,-72.571,13,7,usp000h60h,Haiti region
2010-01-03T22:36:25.640Z,-8.783,157.354,10,7.1,usp000h5np,Solomon Islands
2009-11-09T10:44:55.110Z,-17.239,178.331,595,7.3,usp000h3wn,Fiji
2009-10-07T23:13:48.160Z,-13.093,166.497,31.1,7.4,usp000h2gr,Vanuatu
2009-10-07T22:18:51.240Z,-12.517,166.382,35,7.8,usp000h2gd,Santa Cruz Islands
2009-10-07T22:03:14.470Z,-13.006,166.51,45,7.7,usp000h2g9,Vanuatu
2009-09-30T10:16:09.250Z,-0.72,99.867,81,7.6,usp000h237,"southern Sumatra, Indonesia"
2009-09-29T17:48:10.990Z,-15.489,-172.095,18,8.1,usp000h1ys,Samoa Islands region
2009-09-02T07:55:01.050Z,-7.782,107.297,46,7,usp000h152,"Java, Indonesia"
2009-08-10T19:55:38.730Z,14.099,92.902,24,7.5,usp000h05x,"Andaman Islands, India region"
2009-08-09T10:55:55.110Z,33.167,137.944,292,7.1,usp000h04j,"near the south coast of Honshu, Japan"
2009-07-15T09:22:29.030Z,-45.762,166.562,12,7.8,usp000gz8j,off the west coast of the South Island of New Zealand
2009-05-28T08:24:46.560Z,16.731,-86.217,19,7.3,usp000gxkj,offshore Honduras
2009-03-19T18:17:40.470Z,-23.043,-174.66,31,7.6,usp000gv5p,Tonga region
2009-02-18T21:53:45.160Z,-27.424,-176.33,25,7,usp000gu5x,Kermadec Islands region
2009-02-11T17:34:50.490Z,3.886,126.387,20,7.2,usp000gtnc,"Kepulauan Talaud, Indonesia"
2009-01-15T17:49:39.070Z,46.857,155.154,36,7.4,usp000gsmz,east of the Kuril Islands
2009-01-03T22:33:40.290Z,-0.691,133.305,23,7.4,usp000gs3t,"near the north coast of Papua, Indonesia"
2009-01-03T19:43:50.650Z,-0.414,132.885,17,7.7,usp000gs2d,"near the north coast of Papua, Indonesia"
2008-11-24T09:02:58.760Z,54.203,154.322,492.3,7.3,usp000gpbs,Sea of Okhotsk
2008-11-16T17:02:32.700Z,1.271,122.091,30,7.4,usp000gnur,"Minahasa, Sulawesi, Indonesia"
